"D.Item.raw","B.Code","DC.Value","DC.Unit","DC.Variable","T.Name","A.Level.Name","P.Product","Out.WG.Start","Out.WG.Unit","Out.WG.Days","Weight Gain","Weight Gain Unit","Weight Gain_kg","Out.WG.Start_kg","Out.WG.End","Out.Subind","Feed Intake","Feed Intake Unit","Tree.Feed","Metabolic_Weight","Feed_Dosage_g_DM_per_kg_MW"
"0 MSK","HK0066.1",921,"g/kg","DM","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",178,"g/kg","CP","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",41,"g/kg","CFibre","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",42,"g/kg","EE","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",10.63,"MJ/kg","ME","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",881,"g/kg","DM","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",237.5,"g/kg","CP","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",38.2,"g/kg","CFibre","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",38.2,"g/kg","EE","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",12.7,"MJ/kg","ME","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 g/kg A. tortilis","HK0330",867,"g/kg","DM","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",180,"g/kg","CP","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",8.1,"g/kg","Phos","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",11.7,"g/kg","Calcium","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",161,"g/kg","NDF","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",52.4,"g/kg","ADF","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",16.7,"MJ/kg","GE","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0% CBC","HK0067",14.86,"%","CP","T1 0% CBC","0% CBC","Chicken",NA,"Unspecified",77,10.42,"g/d/individual",0.01,NA,NA,"Feed Intake",65.97,"g/individual/day",NA,NA,NA
"0% CBC","HK0067",79,"%","Ash","T1 0% CBC","0% CBC","Chicken",NA,"Unspecified",77,10.42,"g/d/individual",0.01,NA,NA,"Feed Intake",65.97,"g/individual/day",NA,NA,NA
"0% CBC","HK0067",15,"%","EE","T1 0% CBC","0% CBC","Chicken",NA,"Unspecified",77,10.42,"g/d/individual",0.01,NA,NA,"Feed Intake",65.97,"g/individual/day",NA,NA,NA
"0% CBC","HK0067",11.9,"MJ/kg","ME","T1 0% CBC","0% CBC","Chicken",NA,"Unspecified",77,10.42,"g/d/individual",0.01,NA,NA,"Feed Intake",65.97,"g/individual/day",NA,NA,NA
"0% CBC","HK0067",15,"MJ/kg","GE","T1 0% CBC","0% CBC","Chicken",NA,"Unspecified",77,10.42,"g/d/individual",0.01,NA,NA,"Feed Intake",65.97,"g/individual/day",NA,NA,NA
"0% CFL","EO0046",953.8,"g/kg","DM","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",107.3,"g/kg","CP","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",406.6,"g/kg","NDF","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",267.7,"g/kg","ADF","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",40.1,"g/kg","ADL","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",132.5,"g/kg","Ash","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% CFL","EO0046",105.1,"g/kg","EE","0% CFL","0% CFL","Sheep",13.17,"kg",76,27.74,"g/d/individual",0.028,13.17,15.298,"Feed Intake",307.53,"g DM/individual/day",NA,6.91336252621094,NA
"0% Leucaena Diet","HK0108",94.92,"g/100g","DM","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",94.92,"g/100g","DM","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",5.68,"g/100g","CP","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",5.68,"g/100g","CP","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",7.37,"g/100g","CFibre","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",7.37,"g/100g","CFibre","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",32,"g/100g","NDF","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",32,"g/100g","NDF","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",20.98,"g/100g","ADF","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",20.98,"g/100g","ADF","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",13.38,"g/100g","Ash","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",13.38,"g/100g","Ash","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",2.32,"g/100g","EE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",2.32,"g/100g","EE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",72.25,"g/100g","NFE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",72.25,"g/100g","NFE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",69.9,"%","DE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",69.9,"%","DE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",6.44,"kcal/kg","GE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",6.44,"kcal/kg","GE","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",11.02,"g/100g","Hemicell","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",11.02,"g/100g","Hemicell","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Diet","HK0108",86.97,"g/100g","OM","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",137.89,"g DM/individual/day",NA,3.62081298167654,NA
"0% Leucaena Diet","HK0108",86.97,"g/100g","OM","T1 0% Leucaena Diet","0% Leucaena Diet","Goat",5.56,"kg",NA,-3.78,"g/d/individual",-0.004,5.56,NA,"Feed Intake",46.15,"g DM/kg body weight (0.75)/individual/day",NA,3.62081298167654,12.7457563352613
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",10.8,"g/100g","CP","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",43.6,"g/100g","ADF","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",39.58,"g DM/kg body weight (0.75)/individual/day",NA,4.4182827462559,8.95823157391647
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Goat","HK0008",31.4,"g/100g","Cellu","Diet 1 Goat","0% Leucaena Goat","Goat",7.25,"kg",112,24.36,"g/d/individual",0.024,7.25,9.938,"Feed Intake",2.21,"% body weight",NA,4.4182827462559,NA
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",10.8,"g/100g","CP","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",43.6,"g/100g","ADF","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",69.26,"g DM/kg body weight (0.75)/individual/day",NA,8.07488341859459,8.5772136153087
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% Leucaena Sheep","HK0008",31.4,"g/100g","Cellu","Diet 1 Sheep","0% Leucaena Sheep","Sheep",16.2,"kg",112,48.92,"g/d/individual",0.049,16.2,21.688,"Feed Intake",3.21,"% body weight",NA,8.07488341859459,NA
"0% MOC","JS0306",13.88,"%","CP","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
"0% MOC","JS0306",0.39,"%","Phos","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
"0% MOC","JS0306",0.61,"%","Calcium","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
"0% MOC","JS0306",11.3,"%","CFibre","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
"0% MOC","JS0306",285.75,"g/kg","NDF","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
"0% MOC","JS0306",116.93,"g/kg","ADF","T1 0% MOC","0% MOC","Sheep",25640,"g",77,220,"g/d/individual",0.22,25.64,42.58,"Feed Intake",1540,"g/individual/day",NA,11.3943227166173,NA
