B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
NN0272.2,Katongole,2009,Tropical Animal Health and Production,10.1007/s11250-008-9193-7,
NN0276.1,Lapenga,2009,Journal of Animal and Veterinary Advances,,https://www.researchgate.net/publication/289652441_Effect_of_Feed_Supplements_on_Weight_Gain_and_Carcass_Characteristics_of_Intact_Male_Mubende_Goats_Fed_Elephant_Grass_Pennisetum_purpureum_ad_libitum_in_Uganda
NN0276.2,Lapenga,2009,Journal of Animal and Veterinary Advances,,https://www.researchgate.net/publication/289580691_Growth_Performance_and_Feed_Utilization_by_Intact_Male_Mubende_Goats_Fed_Various_Supplements_with_Elephant_Grass_Pennisetum_purpureum_as_Basal_Diet_in_Uganda
NN0279,Mpairwe,1998,Agroforestry Systems,10.1023/A:1006097902270,
NN0280.1,Mpairwe,2003,Livestock Production Science,10.1016/s0301-6226(02)00176-8,
NN0299,Madzimure,2011,Tropical Animal Health and Production,10.1007/s11250-010-9656-5,
NN0316,Cherif,2018,Small Ruminant Research,10.1016/j.smallrumres.2017.11.008,
NN0318,Chiloane,2013,South African Journal of Animal Science,10.4314/sajas.v43i2.6,
NN0321,Chisoro,2018,South African Journal of Animal Science,10.4314/sajas.v48i2.9,
NN0329,Ermias,2013,Small Ruminant Research,10.1016/j.smallrumres.2013.05.010,
NN0331,Fakayode,2010,Fisheries Society of Nigeria,,http://hdl.handle.net/1834/38233
NN0341,Goosen,2014,Aquaculture International,10.1007/s10499-014-9873-4,
NN0345,Yisehak,2014,Tropical Animal Health and Production,10.1007/s11250-014-0605-6,
NN0358,Hassaan,2017,Aquaculture Nutrition,10.1111/anu.12424,
NN0361,Kholif,2016,Animal Feed Science and Technology,10.1016/j.anifeedsci.2016.04.012,
NN0362,Kholif,2015,Small Ruminant Research,10.1016/j.smallrumres.2015.05.007,
NN0364,Kholif,2014,Asian-Australasian Journal of Animal Sciences,10.5713/ajas.2013.13405,
NN0365,Hashem,2017,Annals of Animal Science,10.1515/aoas-2016-0030,
NN0366,Kholif,2016,Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.6b02625,
NN0368,Kholif,2018,Small Ruminant Research,10.1016/j.smallrumres.2017.10.014,
NN0370,Khattab,2013,Livestock Science,10.1016/j.livsci.2013.05.024,
NN0372,Hailemariam,2016,Tropical Animal Health and Production,10.1007/s11250-015-0953-x,
NN0374,Mohammed,2012,Tropical Animal Health and Production,10.1007/s11250-011-0056-2,
NN0375,Megersa,2013,Tropical Animal Health and Production,10.1007/s11250-012-0264-4,
NN0377,Nurfeta,2014,Tropical Animal Health and Production,10.1007/s11250-014-0583-8,
NN0380,Mathia,2012,Aquaculture,10.1016/j.aquaculture.2012.05.002,
NN0399,Mutimura,2016,Tropical Animal Health and Production,10.1007/s11250-016-1019-4,
