D.Item.AOM,B.Code,DC.Unit.Is.Dry,D.Item,DC.Value,DC.Unit,DC.Variable,Scientific Name,NCBI,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,90.9,%,DM,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,71.9,%,CP,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,6.4,%,Ash,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,1.7,%,Cfat,,,,NA,39110,
AOM_000539,HK0171,Yes,Bone Ground,75,%,DM,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,36,%,CP,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,3,%,CFibre,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,49,%,Ash,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,4,%,EE,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,8,%,NFE,,,,https://www.feedipedia.org/node/219,39110,
AOM_000543,HK0014,Yes,Fish Ground,92,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,94.7,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,90.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,96.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,960,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,960,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0124,Yes,Fish Ground,92.3,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,91.83,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,890,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,947.5,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,90.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,91.47,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,914.7,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,92.41,g/100g DM,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,65,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,39.1,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0080,Yes,Fish Ground,630,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0112,Yes,Fish Ground,72,g/100g,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,510,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,510,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0122,Unspecified,Fish Ground,71.9,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,73.18,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,343,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,672.1,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,64.8,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NJ0003,Yes,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,47.21,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,472.1,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,69.76,g/100g DM,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,724,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0117,Unspecified,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0119.2,Unspecified,Fish Ground,68,%/(g/100g for pumpkin leaves),CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0155,Yes,Fish Ground,650,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,3.39,%,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,2.5,g/kg,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,2.5,g/kg,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,2.09,g/100g DM,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,7.36,%,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,4.3,g/kg,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,4.3,g/kg,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,3.14,g/100g DM,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,1,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,1.03,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,1.45,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,0.22,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,171,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,0.95,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,9.5,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,11,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,12.6,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,12.56,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,21.1,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,35,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,12.73,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,182,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,126.6,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,21.1,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,28.14,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,201.4,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,13.83,g/100g DM,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,145,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,4.5,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,16.3,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,91,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,91,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,10.7,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,70,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,148,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,10,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,17.76,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,8.15,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,0.8,g/kg,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,13.55,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,215.5,g/kg,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,8.17,%,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,52.5,g/kg,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,7.59,g/100g DM,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,4745.59,kcal/kg,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,12.9,MJ/kg,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,23.3,Unspecified,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,21.6,kJ/g,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,12.9,MJ/kg DM,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,13.8,kJ/g,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,19,kJ/g,GE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,1,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,3.65,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,5.6,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0122,Unspecified,Fish Ground,7.7,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0124,Yes,Fish Ground,11.8,g/kg,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,5.6,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,1.62,%,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,16.2,g/kg,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,8.82,g/100g DM,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,85,g/kg,Cfat,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,65,%,OM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,650,g/kg,OM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,650,g/kg,OM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0124,Yes,Fish Ground,84.2,g/kg,OM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,94.45,%,DM,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,64.32,%,CP,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,0.89,%,Phos,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,1.5,%,Calcium,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,11.25,%,CFibre,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,0.63,%,Ash,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,13.15,%,EE,,,,https://www.feedipedia.org/node/198,NA,
AOM_000552,LM0100,Unspecified,Grasshopper Ground,4.23,kcal/kg,ME,,,,https://www.feedipedia.org/node/198,NA,
AOM_000556,NN0107.2,Yes,Milk,136.9,g/kg,DM,,,,NA,022,
AOM_000556,NN0107.2,Yes,Milk,38.5,g/kg,CP,,,,NA,022,
AOM_000556,NN0107.2,Yes,Milk,7.7,g/kg,Ash,,,,NA,022,
AOM_000556,NN0107.2,Yes,Milk,40.6,g/kg,Cfat,,,,NA,022,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,92.5,%,DM,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,91.8,%,DM,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,93,g/100g,DM,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,92,%,DM,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,19.5,%,CP,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,19.5,g/100g,CP,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,19.7,%,CP,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,3.12,%,N,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,0.36,mg/100g,Phos,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,0.48,g/100g,Phos,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,0.025,mg/100g,Calcium,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,0.35,g/100g,Calcium,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,19.7,%,CFibre,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,18.4,%,CFibre,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,16.9,g/100g,CFibre,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,20.3,%,CFibre,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,3.62,%,Ash,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,4.4,%,Ash,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,2,g/100g,Ash,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,9.26,%,Ash,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,3.45,%,EE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,5.1,%,EE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,6.1,g/100g,EE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,5.12,%,EE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,52.6,%,NFE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,JS0418,Yes,Brewers Grain Dried,45.62,%,NFE,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,AN0007,Unspecified,Brewers Grain Dried,2314,kcal/kg,ME,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0129,Yes,Brewers Grain Dried,1606,kcal/kg,ME,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000564,HK0033,Yes,Brewers Grain Dried,87.4,%,OM,,,,https://www.feedipedia.org/node/11893,NA,
AOM_000567,JS0196,Yes,Hominy Ground,888.8,g/kg,DM,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,130.7,g/kg,CP,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,6.8,g/kg,Phos,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,16.4,g/kg,Calcium,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,535.2,g/kg,NDF,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,73.1,g/kg,ADF,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,57.3,g/kg,Ash,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,13.07,g/kg,ME,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,462.1,g/kg,Hemicell,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000567,JS0196,Yes,Hominy Ground,942.7,g/kg,OM,Zea mays,,,https://www.feedipedia.org/node/12290,NA,
AOM_000571,HK0171,Yes,Maize Offal,89.07,%,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,884.2,g/kg,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,HK0171,Yes,Maize Offal,10.08,%,CP,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,124.3,g/kg,CP,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,HK0171,Yes,Maize Offal,1.5,%,CFibre,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,120,g/kg,CFibre,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,HK0171,Yes,Maize Offal,0.8,%,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,83,g/kg,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,HK0171,Yes,Maize Offal,1.7,%,EE,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,27,g/kg,EE,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,HK0171,Yes,Maize Offal,60.3,%,NFE,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000571,LM0048,No,Maize Offal,645.7,g/kg,NFE,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,NA,0112,
AOM_000572,JS0196,Yes,Maize Straw,881.3,g/kg,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,939,g/kg,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,919,g/kg,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,HK0138,Yes,Maize Straw,93.9,%,DM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,25.5,g/kg,CP,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,38,g/kg,CP,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,HK0138,Yes,Maize Straw,8.4,%,CP,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,3.9,g/kg,N,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,5.4,g/kg,Phos,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,1.7,g/kg,Calcium,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,816.1,g/kg,NDF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,738,g/kg,NDF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,716,g/kg,NDF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,538,g/kg,ADF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,493,g/kg,ADF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,451,g/kg,ADF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,HK0138,Yes,Maize Straw,53.7,%,ADF,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,94,g/kg,ADL,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,49,g/kg,ADL,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,64.3,g/kg,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,85,g/kg,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0214,Yes,Maize Straw,84.6,g/kg,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,HK0138,Yes,Maize Straw,4.4,%,Ash,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,7.81,g/kg,ME,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,278.1,g/kg,Hemicell,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,NN0189,Yes,Maize Straw,94,g/kg,Lignin,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,HK0138,Yes,Maize Straw,8.5,%,Lignin,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000572,JS0196,Yes,Maize Straw,935.7,g/kg,OM,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,01913
AOM_000574,HK0340,Yes,Oat Leaves Dried,92.51,%,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,JS0349,Yes,Oat Leaves Dried,909,g/kg,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,NJ0013,Yes,Oat Leaves Dried,89.35,%,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,NN0083,Yes,Oat Leaves Dried,938,g/kg,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,JS0350,Yes,Oat Leaves Dried,900,g/kg,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,NN0201,Unspecified,Oat Leaves Dried,888,g/kg,DM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,HK0340,Yes,Oat Leaves Dried,5.4,%,CP,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,JS0349,Yes,Oat Leaves Dried,32,g/kg,CP,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000574,NJ0013,Yes,Oat Leaves Dried,6.34,%,CP,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
