"Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Out.SubInd","PrName","Product.Simple","DD.Variable","DD.Unit_Control","DD.Unit_trt","DD.Value_Control","TID","T.Descrip","Tree.Feed","MeanT","VarianceT","DD.Value_trt"
"JS0214","10.1023/a:;1025454425048","Tanzania","SUA Farm, Morogoro (Dairy)","T1","T D1 CSC Con","NA","kg/d/individual",9.46,"Milk Yield","Feed Substitution","Cattle",NA,NA,NA,NA,"T2..T3..T4","T D2 Gliricidia S 1..T D3 Gliricidia S 2..T D4 Gliricidia S 3","Gliciridia sepium",8.93666666666667,0.165033333333333,NA
"JS0230","10.1023/a:;1005203806867","Botswana","BCA Sebele Content Farm, Gaborone","T1","T D1 Con Lucerne","1997","g/d/individual",78,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 C. apiculatum..T D3 T. serecia..T D4 E.schimperi","Combretum apiculatum..Terminalia sericea..Euclea schimperi",69.3333333333333,46.3333333333333,NA
"JS0230","10.1023/a:;1005203806867","Botswana","BCA Sebele Content Farm, Gaborone","T1","T D1 Con Lucerne","1997","kg/individual",24.8,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 C. apiculatum..T D3 T. serecia..T D4 E.schimperi","Combretum apiculatum..Terminalia sericea..Euclea schimperi",24.0666666666667,0.323333333333332,NA
"JS0269.1","10.2307/4002969","Ethiopia","Debre Zeit","T1","D1 Native Hay","1987","g/d/individual",31,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T4..T5","D4  A. brevispica Leaves..D5 A. tortilis Fruits","Acacia brevispica..Vachellia tortilis",53,0,NA
"JS0269.2","10.2307/4002969","Ethiopia","Demballa Wachu","T1","T1 Grazing","1988","g/d/individual",81,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T4","T4 A.brevispica Leaves.","Acacia brevispica",117,NA,NA
"JS0271","10.1016/S0301-6226(00)00154-8","Ethiopia","ILRI, Debre Zeit","T1","Con","NA","kg/d/individual",2e-04,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T2..T3..T4","Leucaena 1..Leucaena 2..Leucaena 3","Leucaena leucocephala",0.0627666666666667,0.000105403333333333,NA
"JS0271","10.1016/S0301-6226(00)00154-8","Ethiopia","ILRI, Debre Zeit","T1","Con","NA","kg/individual",16.8,"Meat Yield","Feed Addition","Sheep",NA,NA,NA,NA,"T2..T3..T4","Leucaena 1..Leucaena 2..Leucaena 3","Leucaena leucocephala",29.7,5.89,NA
"JS0276","10.1007/s11250-011-9927-9","Ethiopia","Hawassa University, Hawassa","T1","T D1 Con","NA","g/d/individual",-13.3,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T2..T4","T D2 Moringa1..T D4 Moringa3","Moringa stenopetala",75.15,2443.005,NA
"JS0276","10.1007/s11250-011-9927-9","Ethiopia","Hawassa University, Hawassa","T1","T D1 Con","NA","kg/individual",12.7,"Meat Yield","Feed Addition","Sheep",NA,NA,NA,NA,"T2..T3..T4","T D2 Moringa1..T D3 Moringa2..T D4 Moringa3","Moringa stenopetala",20.2,8.44,NA
"JS0289.1","10.1016/s0301-6226(97)00152-8","Ethiopia","ILRI, Debre Zeit","T1","Teff + 150 g Wheat Bran","NA","g/d/individual",19.9,"Weight Gain","Feed Substitution","Sheep","DM","g/kg","g/kg",476,"T2..T4..T3..T5","Teff + 200 g L. pallida..Teff + 400 g L. pallida..Teff + 200g S. Sesban..Teff + 400 g S. Sesban","Leucaena pallida..Sesbania sesban",25.675,95.8291666666667,509.75
"JS0289.2","10.1016/s0301-6226(97)00152-8","Ethiopia","ILRI, Debre Zeit","T1","Teff + 150 g Wheat Bran","NA","g/d/individual",4.9,"Weight Gain","Feed Substitution","Goat","DM","g/kg","g/kg",496,"T2..T4..T3..T5","Teff + 200 g L. pallida..Teff + 400 g L. pallida..Teff + 200g S. Sesban..Teff + 400 g S. Sesban","Leucaena pallida..Sesbania sesban",10.675,241.815833333333,527.25
"JS0290","10.1023/a:;1005952801489","Ethiopia","Debre Zeit","T1","T D1 Con","NA","g/d/individual",-17.5,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T5..T6..T7..T8..T9..T10..T11..T2..T3","T D3 Tagasaste..T D4 Leucaena..T D5 Sesban1..T D6 Sesban2..T D7 Sesban3..T D8 Sesban4..T D9 Sesban5..T D10 Sesban6..T D11 Goetzei","Chamaecytisus palmensis..Leucaena leucocephala..Sesbania sesban..Sesbania goetzei",35.6555555555556,16.6277777777778,NA
"JS0291","10.1016/s0377-8401(97)00159-4","Ethiopia","ILRI, Debre Zeit","T1","Con Teff","NA","kg/d/individual",-0.0244,"Weight Gain","Feed Addition","Sheep","DM","g/kg","g/kg",486,"T2..T3..T4..T5..T6..T7..T8..T9..T10..T11..T12..T13..T14..T15..T16..T17","Leucocephala 1..Leucocephala 2..Leucocephala 3..Leucocephala 4..Pallida 1..Pallida 2..Pallida 3..Pallida 4..Palmensis 1..Palmensis 2..Palmensis 3..Palmensis 4..Sesban 1..Sesban 2..Sesban 3..Sesban 4","Leucaena leucocephala..Leucaena pallida..Chamaecytisus palmensis..Sesbania sesban",0.03238125,0.000318654958333333,531.875
